"sep=,"
Count,Name,Section
11,"Island",main
11,"Plains",main
1,"Port Town",main
1,"Prairie Stream",main
1,"Skycloud Expanse",main
1,"Temple of Enlightenment",main
1,"Command Tower",main
1,"Otawara, Soaring City",main
1,"Tranquil Cove",main
1,"Basilisk Gate",main
1,"Citadel Gate",main
1,"Gond Gate",main
1,"Heap Gate",main
1,"Skybridge Towers",main
1,"Reflecting Pool",main
1,"Myriad Landscape",main
1,"Tameshi, Reality Architect",main
1,"Tezzeret, Betrayer of Flesh",main
1,"Oji, the Exquisite Blade",main
1,"The Council of Four",main
1,"The Deck of Many Things",main
1,"Mysterious Limousine",main
1,"Replication Specialist",main
1,"Skyswimmer Koi",main
1,"Kenku Artificer",main
1,"Solemn Simulacrum",main
1,"Enchanted Carriage",main
1,"Gilded Pinions",main
1,"Circuit Mender",main
1,"Bronze Walrus",main
1,"Fraying Line",main
1,"Mirror of Life Trapping",main
1,"Meteor Golem",main
1,"Nautiloid Ship",main
1,"Pilgrim's Eye",main
1,"False Floor",main
1,"Unlicensed Hearse",main
1,"Bag of Holding",main
1,"Campfire",main
1,"Ugin, the Ineffable",main
1,"Organic Extinction",main
1,"Indomitable Archangel",main
1,"Teshar, Ancestor's Apostle",main
1,"Vedalken Engineer",main
1,"Brilliant Restoration",main
1,"Ironsoul Enforcer",main
1,"Reality Heist",main
1,"Planar Incision",main
1,"Etherium Sculptor",main
1,"Arcane Signet",main
1,"Foundry Inspector",main
1,"Sol Ring",main
1,"Mobile Garrison",main
1,"Getaway Car",main
1,"Burnished Hart",main
1,"Clockwork Fox",main
1,"Gate Colossus",main
1,"Dungeoneer's Pack",main
1,"Manifold Key",main
1,"Navigation Orb",main
1,"Patriar's Seal",main
1,"Rug of Smothering",main
1,"Treasure Keeper",main
1,"Vexing Puzzlebox",main
1,"Displacer Kitten",main
1,"Network Disruptor",main
1,"High-Speed Hoverbike",main
1,"Reckoner Bankbuster",main
1,"Mechtitan Core",main
1,"Dispatch",main
1,"Dragonfly Suit",main
1,"Michiko's Reign of Truth",main
1,"Minimus Containment",main
1,"Covert Technician",main
1,"Specter's Shroud",main
1,"Automated Artificer",main
1,"Mimic",main
1,"Treasure Chest",main
1,"Wayfarer's Bauble",main
1,"Decanter of Endless Water",main
1,"Mechtitan",sideboard
1,"Tezzeret, Betrayer of Flesh Emblem",sideboard
1,"Spirit",sideboard
2,"Mouse",sideboard
1,"Copy",sideboard
1,"Knight",sideboard
1,"Treasure",sideboard
1,"Pilot",sideboard
