Name,Type,Color,Rarity,Author,Power,Toughness,Mana cost,Converted mana cost,Count,Foil count,Special foil count,Price,Foil price,Number,Set,ID,Multiverse ID,Comments,To trade,Condition,Grading,Languages,TCG ID,Cardmarket ID,Deck count,Sideboard count,Maybeboard count
"Island","Basic Land - Island",Colorless,Common,"Matteo Bassini",0,0,,0,2,1,0,$0.21,$0.43,274,"Streets of New Capenna",73111,559457,,0,"","","",265354,611261,11,0,0
"Plains","Basic Land - Plains",Colorless,Common,"Olga Tereshenko",0,0,,0,1,0,0,$0.15,$0.37,273,"Streets of New Capenna",73110,559456,,0,"","","",265352,611260,11,0,0
"Port Town","Land",Colorless,Rare,"Kamila Szutenberg",0,0,,0,1,0,0,$0.29,$0.29,174,"Neon Dynasty Commander",72231,554256,,0,"1xMint","","1xEnglish",263089,608993,1,0,0
"Prairie Stream","Land - Plains Island",Colorless,Rare,"Adam Paquette",0,0,,0,1,0,0,$0.29,$0.29,175,"Neon Dynasty Commander",72232,554257,,0,"1xMint","","1xEnglish",263090,608994,1,0,0
"Skycloud Expanse","Land",Colorless,Rare,"Sam Burley",0,0,,0,1,0,0,$0.22,$0.22,177,"Neon Dynasty Commander",72234,554259,,0,"1xMint","","1xEnglish",263091,608996,1,0,0
"Temple of Enlightenment","Land",Colorless,Rare,"Piotr Dura",0,0,,0,1,0,0,$0.23,$0.23,180,"Neon Dynasty Commander",72237,554262,,0,"1xMint","","1xEnglish",263093,608999,1,0,0
"Command Tower","Land",Colorless,Common,"Ryan Yee",0,0,,0,1,0,0,$0.17,$0.17,240,"Commander 2018",42352,451195,,0,"1xMint","","1xEnglish",171193,361917,1,0,0
"Otawara, Soaring City","Legendary Land",Colorless,Rare,"Alayna Danner",0,0,,0,1,0,0,$15.42,$18.15,271,"Kamigawa: Neon Dynasty",71838,548584,,0,"","","",262434,607514,1,0,0
"Tranquil Cove","Land",Colorless,Common,"Alayna Danner",0,0,,0,1,0,0,$0.10,$0.15,280,"Kamigawa: Neon Dynasty",71847,548593,,0,"","","",262743,608309,1,0,0
"Basilisk Gate","Land - Gate",Colorless,Common,"Julian Kok Joon Wen",0,0,,0,1,0,0,$0.10,$0.31,346,"Commander Legends: Battle for Baldur's Gate",74898,563229,,0,"1xMint","","1xEnglish",273362,660832,1,0,0
"Citadel Gate","Land - Gate",Colorless,Common,"Andreas Rocha",0,0,,0,4,0,0,$0.10,$0.29,349,"Commander Legends: Battle for Baldur's Gate",74901,563232,,0,"4xMint","","4xEnglish",273084,660768,1,0,0
