"sep=,"
Name,Type,Color,Rarity,Author,Power,Toughness,Mana cost,Converted mana cost,Count,Foil count,Special foil count,Price,Foil price,Number,Set,ID,Multiverse ID,Comments,To trade,Condition,Grading,Languages,TCG ID,Cardmarket ID
"Ancient Gold Dragon","Creature - Elder Dragon",White,Mythic,"Simon Dominic",7,10,(5)(W)(W),7,0,0,0,$10.67,$10.67,3,"Commander Legends: Battle for Baldur's Gate",74530,0,,0,,,,273299,660705
"Archivist of Oghma","Creature - Halfling Cleric",White,Rare,"Stella Spente",2,2,(1)(W),2,0,0,0,$18.15,$22.76,4,"Commander Legends: Battle for Baldur's Gate",74531,0,,0,,,,272914,660706
"Ascend from Avernus","Sorcery",White,Rare,"Bruce Brenneise",0,0,(X)(W)(W)(W),3,0,0,0,$0.58,$0.85,5,"Commander Legends: Battle for Baldur's Gate",74532,0,,0,,,,272915,660707
"Banishment","Enchantment",White,Uncommon,"Darek Zabrocki",0,0,(3)(W),4,0,0,0,$0.09,$0.25,8,"Commander Legends: Battle for Baldur's Gate",74535,0,,0,,,,273432,660708
"Blessed Hippogriff","Creature - Hippogriff",White,Common,"Leanna Crossan",2,3,(3)(W),4,0,0,0,$0.06,$0.15,11,"Commander Legends: Battle for Baldur's Gate",74538,0,,0,,,,273305,660840
"Tyr's Blessing","Instant - Adventure",White,Common,"Leanna Crossan",0,0,(W),4,0,0,0,$0.06,$0.15,11,"Commander Legends: Battle for Baldur's Gate",74539,0,,0,,,,273305,660840
"Contraband Livestock","Instant",White,Uncommon,"Mark Behm",0,0,(1)(W),2,0,0,0,$0.15,$0.16,12,"Commander Legends: Battle for Baldur's Gate",74540,0,,0,,,,273110,660709
"Crystal Dragon","Creature - Dragon",White,Uncommon,"John Severin Brassell",4,4,(4)(W)(W),6,0,0,0,$0.11,$0.22,13,"Commander Legends: Battle for Baldur's Gate",74541,0,,0,,,,272969,659822
"Rob the Hoard","Sorcery - Adventure",White,Uncommon,"John Severin Brassell",0,0,(1)(W),6,0,0,0,$0.11,$0.22,13,"Commander Legends: Battle for Baldur's Gate",74542,0,,0,,,,272969,659822
"Ellyn Harbreeze, Busybody","Legendary Creature - Human Peasant",White,Uncommon,"Dan Scott",2,4,(3)(W),4,0,0,0,$0.11,$0.16,16,"Commander Legends: Battle for Baldur's Gate",74545,0,,0,,,,272550,658449
"Lae'zel, Vlaakith's Champion","Legendary Creature - Gith Warrior",White,Rare,"John Stanko",3,3,(2)(W),3,0,0,0,$1.09,$2.31,29,"Commander Legends: Battle for Baldur's Gate",74560,0,,0,,,,272626,658699
"Lae'zel's Acrobatics","Instant",White,Rare,"Tatiana Kirgetova",0,0,(3)(W),4,0,0,0,$0.11,$0.49,30,"Commander Legends: Battle for Baldur's Gate",74561,0,,0,,,,272885,659367
"Legion Loyalty","Enchantment",White,Mythic,"Aaron J. Riley",0,0,(6)(W)(W),8,0,0,0,$4.63,$5.99,31,"Commander Legends: Battle for Baldur's Gate",74562,0,,0,,,,272895,659368
"Sculpted Sunburst","Sorcery",White,Rare,"Evyn Fong",0,0,(3)(W)(W),5,0,0,0,$0.02,$0.02,42,"Commander Legends: Battle for Baldur's Gate",74574,0,,0,,,,273332,660816
"Stoneskin","Enchantment - Aura",White,Uncommon,"Jake Murray",0,0,(2)(W),3,0,0,0,$0.13,$0.18,45,"Commander Legends: Battle for Baldur's Gate",74577,0,,0,,,,273436,660817
