"sep=,"
Name,Type,Color,Rarity,Author,Power,Toughness,Mana cost,Converted mana cost,Count,Foil count,Special foil count,Price,Foil price,Number,Set,ID,Multiverse ID,Comments,To trade,Condition,Grading,Languages,TCG ID,Cardmarket ID
"Ancestral Katana","Artifact - Equipment",White,Common,"Daniel Ljunggren",0,0,(1)(W),2,0,0,0,$0.06,$0.13,1,"Kamigawa: Neon Dynasty",71545,548291,,0,,,,262136,607153
"Ao, the Dawn Sky","Legendary Creature - Dragon Spirit",White,Mythic,"Chris Rahn",5,4,(3)(W)(W),5,0,0,0,$2.05,$2.42,2,"Kamigawa: Neon Dynasty",71546,548292,,0,,,,262033,607027
"Banishing Slash","Sorcery",White,Uncommon,"Josu Hernaiz",0,0,(W)(W),2,2,0,0,$0.11,$0.17,3,"Kamigawa: Neon Dynasty",71547,548293,,0,2xMint,,2xEnglish,262189,607325
"Befriending the Moths","Enchantment - Saga",White,Common,"Matt Stewart",0,0,(3)(W),4,2,1,0,$0.06,$0.06,4,"Kamigawa: Neon Dynasty",71548,548294,,0,2xMint,,2xEnglish,262183,607052
"Imperial Moth","Enchantment Creature - Insect",White,Common,"Matt Stewart",2,4,,4,2,1,0,$0.06,$0.06,4,"Kamigawa: Neon Dynasty",71549,548294,,0,2xMint,,2xEnglish,262183,607052
"Blade-Blizzard Kitsune","Creature - Fox Ninja",White,Uncommon,"Andrew Mar",2,2,(2)(W),3,0,0,0,$0.05,$0.12,5,"Kamigawa: Neon Dynasty",71550,548296,,0,,,,262670,608175
"Born to Drive","Enchantment - Aura",White,Uncommon,"Heonhwa Choe",0,0,(2)(W),3,0,0,0,$0.11,$0.11,6,"Kamigawa: Neon Dynasty",71551,548297,,0,,,,262429,607507
"Brilliant Restoration","Sorcery",White,Rare,"Wylie Beckert",0,0,(3)(W)(W)(W)(W),7,1,0,0,$0.24,$0.26,7,"Kamigawa: Neon Dynasty",71552,548298,,0,,,,262298,607393
"Cloudsteel Kirin","Artifact Creature - Equipment Kirin",White,Rare,"Jonathan Kuo",3,2,(2)(W),3,2,0,0,$0.24,$0.28,8,"Kamigawa: Neon Dynasty",71553,548299,,0,2xMint,,2xEnglish,262596,607630
"Dragonfly Suit","Artifact - Vehicle",White,Common,"Darren Tan",3,2,(2)(W),3,1,0,0,$0.06,$0.09,9,"Kamigawa: Neon Dynasty",71554,548300,,0,,,,262732,608176
"Eiganjo Exemplar","Enchantment Creature - Human Samurai",White,Common,"Ernanda Souza",2,1,(1)(W),2,0,0,0,$0.05,$0.08,10,"Kamigawa: Neon Dynasty",71555,548301,,0,,,,262728,608177
"Era of Enlightenment","Enchantment - Saga",White,Common,"Amayagido",0,0,(1)(W),2,1,0,0,$0.02,$0.06,11,"Kamigawa: Neon Dynasty",71556,548302,,0,,,,261972,607009
"Hand of Enlightenment","Enchantment Creature - Human Monk",White,Common,"Amayagido",2,2,,2,1,0,0,$0.02,$0.06,11,"Kamigawa: Neon Dynasty",71557,548302,,0,,,,261972,607009
"The Fall of Lord Konda","Enchantment - Saga",White,Uncommon,"Andrew Mar",0,0,(2)(W),3,1,0,0,$0.04,$0.06,12,"Kamigawa: Neon Dynasty",71558,548304,,0,1xMint,,1xEnglish,262410,607515
"Fragment of Konda","Enchantment Creature - Human Noble",White,Uncommon,"Andrew Mar",1,3,,3,1,0,0,$0.04,$0.06,12,"Kamigawa: Neon Dynasty",71559,548304,,0,1xMint,,1xEnglish,262410,607515
"Farewell","Sorcery",White,Rare,"Seb McKinnon",0,0,(4)(W)(W),6,0,0,0,$5.05,$5.48,13,"Kamigawa: Neon Dynasty",71560,548306,,0,,,,262726,608178
"Go-Shintai of Shared Purpose","Legendary Enchantment Creature - Shrine",White,Uncommon,"Johannes Voss",1,3,(3)(W),4,1,0,0,$0.13,$0.27,14,"Kamigawa: Neon Dynasty",71561,548307,,0,,,,262036,607028
"Golden-Tail Disciple","Enchantment Creature - Fox Monk",White,Common,"Jesper Ejsing",2,3,(2)(W),3,0,0,0,$0.05,$0.05,15,"Kamigawa: Neon Dynasty",71562,548308,,0,,,,262722,608179
"Hotshot Mechanic","Artifact Creature - Fox Pilot",White,Uncommon,"Julio Reyna",2,1,(W),1,0,0,0,$0.14,$0.27,16,"Kamigawa: Neon Dynasty",71563,548309,,0,,,,262126,607191
"Imperial Oath","Sorcery",White,Common,"Nicholas Elias",0,0,(5)(W),6,1,0,0,$0.05,$0.09,17,"Kamigawa: Neon Dynasty",71564,548310,,0,,,,262719,608180
"Imperial Recovery Unit","Artifact - Vehicle",White,Uncommon,"Steve Prescott",3,4,(2)(W),3,2,0,0,$0.05,$0.13,18,"Kamigawa: Neon Dynasty",71565,548311,,0,2xMint,,2xEnglish,262716,608181
"Imperial Subduer","Creature - Human Samurai",White,Common,"Zara Alfonso",3,2,(2)(W),3,0,0,0,$0.05,$0.05,19,"Kamigawa: Neon Dynasty",71566,548312,,0,,,,262134,607154
"Intercessor's Arrest","Enchantment - Aura",White,Common,"Steve Prescott",0,0,(2)(W),3,0,0,0,$0.03,$0.03,20,"Kamigawa: Neon Dynasty",71567,548313,,0,,,,262712,608182
"Invoke Justice","Sorcery",White,Rare,"Kekai Kotaki",0,0,(1)(W)(W)(W)(W),5,1,0,0,$0.18,$0.28,21,"Kamigawa: Neon Dynasty",71568,548314,,0,1xMint,,1xEnglish,262407,607508
"Kitsune Ace","Creature - Fox Pilot",White,Common,"Joseph Weston",2,2,(1)(W),2,1,0,0,$0.05,$0.14,22,"Kamigawa: Neon Dynasty",71569,548315,,0,,,,262710,608183
"Kyodai, Soul of Kamigawa","Legendary Creature - Dragon Spirit",White,Rare,"Daniel Zrom",3,3,(3)(W),4,1,0,0,$0.16,$0.27,23,"Kamigawa: Neon Dynasty",71570,548316,,0,,,,262037,607029
