Name,Type,Color,Rarity,Author,Power,Toughness,Mana cost,Converted mana cost,Count,Foil count,Special foil count,Price,Foil price,Number,Set,ID,Multiverse ID,Comments,To trade,Condition,Grading,Languages,TCG ID,Cardmarket ID,Deck count,Sideboard count,Maybeboard count
"Angelic Observer","Creature - Angel Advisor",White,Uncommon,"Zack Stella",3,3,(5)(W),6,1,0,0,$0.05,$0.14,1,"Streets of New Capenna",72838,555202,,0,,,,268760,651687,1,0,0
"Gathering Throng","Creature - Human Citizen",White,Common,"Randy Vargas",3,1,(2)(W),3,1,0,0,$0.04,$0.04,13,"Streets of New Capenna",72850,555214,,0,,,,269059,652155,4,0,0
"Giada, Font of Hope","Legendary Creature - Angel",White,Rare,"Eric Deschamps",2,2,(1)(W),2,1,0,0,$2.93,$3.59,14,"Streets of New Capenna",72851,555215,,0,,,,269062,652156,1,0,0
"Inspiring Overseer","Creature - Angel Cleric",White,Common,"Irina Nordsol",2,1,(2)(W),3,1,0,0,$0.11,$0.21,18,"Streets of New Capenna",72855,555219,,0,,,,269065,652157,1,0,0
"Kyodai, Soul of Kamigawa","Legendary Creature - Dragon Spirit",White,Rare,"Daniel Zrom",3,3,(3)(W),4,1,0,0,$0.20,$0.43,23,"Kamigawa: Neon Dynasty",71570,548316,,0,,,,262037,607029,1,0,0
"Sanctuary Warden","Creature - Angel Soldier",White,Mythic,"Johannes Voss",5,5,(4)(W)(W),6,1,0,0,$1.66,$2.00,30,"Streets of New Capenna",72867,555231,,0,,,,268919,652160,1,0,0
"Sky Crier","Creature - Bird Citizen",White,Common,"Raoul Vitale",1,1,(1)(W),2,1,0,0,$0.04,$0.07,31,"Streets of New Capenna",72868,555232,,0,,,,269120,652161,1,0,0
"Planar Ally","Creature - Angel",White,Common,"Marta Nael",3,3,(3)(W)(W),5,1,0,0,$0.06,$0.16,31,"Adventures in the Forgotten Realms",66167,527318,,0,1xMint,,1xEnglish,243210,571304,1,0,0
"Paragon of Modernity","Artifact Creature - Angel Warrior",Colorless,Common,"Volkan Baǵa",2,2,(4),4,1,0,0,$0.04,$0.15,242,"Streets of New Capenna",73079,555443,,0,,,,269101,652215,1,0,0
"Halo Fountain","Artifact",White,Mythic,"Anastasia Ovchinnikova",0,0,(2)(W),3,1,1,0,$3.81,$4.96,15,"Streets of New Capenna",72852,555216,,0,,,,268356,651363,1,0,0
"Portable Hole","Artifact",White,Uncommon,"John Stanko",0,0,(W),1,1,1,0,$1.76,$3.23,33,"Adventures in the Forgotten Realms",66169,527320,,0,1xMint,,1xEnglish,239192,569034,1,0,0
"Citizen's Crowbar","Artifact - Equipment",White,Uncommon,"Slawomir Maniak",0,0,(1)(W),2,1,0,0,$0.08,$0.13,8,"Streets of New Capenna",72845,555209,,0,,,,268913,652153,1,0,0
"Dancing Sword","Artifact - Equipment",White,Rare,"Wisnu Tan",0,0,(1)(W),2,1,0,0,$0.29,$0.60,360,"Adventures in the Forgotten Realms Collectors",66436,530481,,0,1xMint,,1xEnglish,243287,571403,1,0,0
"Getaway Car","Artifact - Vehicle",Colorless,Rare,"Donato Giancola",4,3,(3),3,1,0,0,$0.11,$0.16,237,"Streets of New Capenna",73074,555438,,0,,,,268360,651377,1,0,0
"Imperial Recovery Unit","Artifact - Vehicle",White,Uncommon,"Steve Prescott",3,4,(2)(W),3,2,0,0,$0.11,$0.28,18,"Kamigawa: Neon Dynasty",71565,548311,,0,2xMint,,2xEnglish,262716,608181,1,0,0
"The Restoration of Eiganjo","Enchantment - Saga",White,Rare,"Titus Lunter",0,0,(2)(W),3,1,0,0,$0.35,$0.50,34,"Kamigawa: Neon Dynasty",71582,548328,,0,,,,262322,607398,1,0,0
"Boon of Safety","Instant",White,Common,"Robin Olausson",0,0,(W),1,1,0,0,$0.10,$0.12,4,"Streets of New Capenna",72841,555205,,0,,,,269046,652151,1,0,0
"Kill Shot","Instant",White,Common,"Josh Hass",0,0,(2)(W),3,1,0,0,$0.03,$0.03,19,"Streets of New Capenna",72856,555220,,0,,,,269067,652158,1,0,0
"Light the Way","Instant",White,Common,"Benjamin Ee",0,0,(W),1,1,0,0,$0.10,$0.10,24,"Kamigawa: Neon Dynasty",71571,548317,,0,,,,262306,607402,1,0,0
"Refuse to Yield","Instant",White,Uncommon,"Josh Hass",0,0,(1)(W),2,1,0,0,$0.11,$0.11,27,"Streets of New Capenna",72864,555228,,0,1xMint,,1xEnglish,268752,651692,1,0,0
"Wanderer's Intervention","Instant",White,Common,"Cristi Balanescu",0,0,(1)(W),2,2,0,0,$0.06,$0.13,41,"Kamigawa: Neon Dynasty",71590,548336,,0,2xMint,,2xEnglish,262693,608190,1,0,0
"Raffine's Guidance","Enchantment - Aura",White,Common,"Rémi Jacquot",0,0,(W),1,1,0,0,$0.08,$0.11,25,"Streets of New Capenna",72862,555226,,0,,,,268681,651622,1,0,0
