Name,Type,Color,Rarity,Author,Power,Toughness,Mana cost,Converted mana cost,Count,Foil count,Special foil count,Price,Foil price,Number,Set,ID,Multiverse ID,Comments,To trade,Condition,Grading,Languages,TCG ID,Cardmarket ID,Deck count,Sideboard count,Maybeboard count
"Forest","Basic Land - Forest",Colorless,Common,"Piotr Dura",0,0,,0,2,1,0,$0.07,$0.12,291,"Kamigawa: Neon Dynasty",71858,553468,,0,"","","",262761,608318,10,0,0
"Plains","Basic Land - Plains",Colorless,Common,"Thomas Stoop",0,0,,0,2,1,0,$0.03,$0.12,263,"Streets of New Capenna",73100,559346,,0,"","","",268409,651266,10,0,0
"Citadel Gate","Land - Gate",Colorless,Common,"Andreas Rocha",0,0,,0,4,0,0,$0.10,$0.29,349,"Commander Legends: Battle for Baldur's Gate",74901,563232,,0,"4xMint","","4xEnglish",273084,660768,1,0,0
"Castle Ardenvale","Land",Colorless,Rare,"Volkan Baǵa",0,0,,0,1,0,0,$1.57,$1.57,391,"New Capenna Commander",73760,559963,,0,"1xMint","","1xEnglish",269692,652975,1,0,0
"Command Tower","Land",Colorless,Common,"Muhammad Firdaus",0,0,,0,1,0,0,$0.10,$0.78,351,"Commander Legends: Battle for Baldur's Gate",74903,563234,,0,"1xMint","","1xEnglish",272580,658535,1,0,0
"Fortified Village","Land",Colorless,Rare,"Cliff Childs",0,0,,0,1,0,0,$0.22,$0.22,404,"New Capenna Commander",73773,559976,,0,"1xMint","","1xEnglish",269407,652988,1,0,0
"Oran-Rief, the Vastwood","Land",Colorless,Rare,"Mike Bierek",0,0,,0,1,0,0,$0.24,$0.24,173,"Neon Dynasty Commander",72230,554255,,0,"1xMint","","1xEnglish",263068,608992,1,0,0
"Opal Palace","Land",Colorless,Common,"Andreas Rocha",0,0,,0,1,0,0,$0.13,$0.13,172,"Neon Dynasty Commander",72229,554254,,0,"","","",263067,608991,1,0,0
"Reflecting Pool","Land",Colorless,Rare,"Alayna Danner",0,0,,0,3,2,0,$6.47,$12.19,358,"Commander Legends: Battle for Baldur's Gate",74910,563241,,0,"3xMint","","3xEnglish",267059,650839,1,0,0
"Thriving Grove","Land",Colorless,Common,"Ravenna Tran",0,0,,0,1,0,0,$0.11,$0.11,439,"New Capenna Commander",73808,560011,,0,"1xMint","","1xEnglish",269621,653023,1,0,0
"Canopy Vista","Land - Forest Plains",Colorless,Rare,"Adam Paquette",0,0,,0,1,0,0,$0.43,$0.43,389,"New Capenna Commander",73758,559961,,0,"1xMint","","1xEnglish",269403,652973,1,0,0
"Windbrisk Heights","Land",Colorless,Rare,"Omar Rayyan",0,0,,0,1,0,0,$0.22,$0.22,447,"New Capenna Commander",73816,560019,,0,"1xMint","","1xEnglish",269712,653031,1,0,0
"Boseiju, Who Endures","Legendary Land",Colorless,Rare,"Chris Ostrowski",0,0,,0,1,0,0,$29.77,$36.06,266,"Kamigawa: Neon Dynasty",71833,548579,,0,"","","",262050,607040,1,0,0
"Blossoming Sands","Land",Colorless,Common,"Sarah Finnigan",0,0,,0,1,0,0,$0.05,$0.15,265,"Kamigawa: Neon Dynasty",71832,548578,,0,"","","",262735,608299,1,0,0
"Awakening Zone","Enchantment",Green,Rare,"Johann Bodin",0,0,(2)(G),3,1,0,0,$0.93,$0.93,281,"New Capenna Commander",73650,559853,,0,"1xMint","","1xEnglish",269676,652865,1,0,0
"Halo Fountain","Artifact",White,Mythic,"Anastasia Ovchinnikova",0,0,(2)(W),3,1,1,0,$4.58,$4.95,15,"Streets of New Capenna",72852,555216,,0,"","","",268356,651363,1,0,0
"Battle Angels of Tyr","Creature - Angel Knight",White,Mythic,"Fajareka Setiawan",4,4,(2)(W)(W),4,1,1,0,$9.29,$13.66,9,"Commander Legends: Battle for Baldur's Gate",74536,562892,,0,"1xMint","","1xEnglish",272599,658448,1,0,0
"Wyrm's Crossing Patrol","Creature - Human Soldier",White,Common,"Edgar Sánchez Hidalgo",1,1,(W),1,1,0,0,$0.08,$0.11,51,"Commander Legends: Battle for Baldur's Gate",74583,562934,,0,"1xMint","","1xEnglish",273441,660852,1,0,0
"Hammers of Moradin","Creature - Dwarf Cleric",White,Uncommon,"Justine Cruz",3,3,(2)(W),3,2,1,0,$0.12,$0.29,25,"Commander Legends: Battle for Baldur's Gate",74555,562908,,0,"2xMint","","2xEnglish",273012,660711,1,0,0
"Cloakwood Hermit","Legendary Enchantment - Background",Green,Uncommon,"Kai Carpenter",0,0,(2)(G),3,2,0,0,$0.08,$0.18,221,"Commander Legends: Battle for Baldur's Gate",74768,563104,,0,"2xMint","","2xEnglish",272604,658477,1,0,0
"Cadira, Caller of the Small","Legendary Creature - Orc Ranger",Multicolors,Uncommon,"Pedro Potier",3,3,(1)(G)(W),3,1,0,0,$0.10,$0.11,417,"Commander Legends: Battle for Baldur's Gate Collectors",75363,570290,,0,"1xMint","","1xEnglish",272806,660753,1,0,0
"Call the Coppercoats","Instant",White,Rare,"Cristi Balanescu",0,0,(2)(W),3,1,0,0,$0.68,$0.68,195,"New Capenna Commander",73562,559767,,0,"1xMint","","1xEnglish",269651,652776,1,0,0
"Crash the Party","Instant",Green,Rare,"Ben Wootten",0,0,(5)(G),6,1,0,0,$0.19,$0.19,57,"New Capenna Commander",73516,0,,0,"1xMint","","1xEnglish",269590,652446,1,0,0
"Martial Coup","Sorcery",White,Rare,"Greg Staples",0,0,(X)(W)(W),2,1,0,0,$0.18,$0.18,206,"New Capenna Commander",73574,559778,,0,"1xMint","","1xEnglish",269646,652790,1,0,0
"One with the Kami","Enchantment - Aura",Green,Rare,"Justyna Gil",0,0,(3)(G),4,1,0,0,$0.33,$0.33,27,"Neon Dynasty Commander",72124,553924,,0,"1xMint","","1xEnglish",262984,608619,1,0,0
"Scute Swarm","Creature - Insect",Green,Rare,"Alex Konstad",1,1,(2)(G),3,1,0,0,$1.68,$1.68,310,"New Capenna Commander",73679,559882,,0,"1xMint","","1xEnglish",269624,652894,1,0,0
"Pegasus Guardian","Creature - Pegasus",White,Common,"Leanna Crossan",3,3,(5)(W),6,3,0,0,$0.08,$0.11,36,"Commander Legends: Battle for Baldur's Gate",74567,562919,,0,"3xMint","","3xEnglish",272980,659839,1,0,0
"Boss's Chauffeur","Creature - Elf Citizen",White,Rare,"Yangtian Li",0,0,(4)(W),5,1,0,0,$0.34,$0.34,13,"New Capenna Commander",73471,0,,0,"1xMint","","1xEnglish",269588,652402,1,0,0
"Carefree Swinemaster","Creature - Gnome Ranger",Green,Common,"Michal Ivan",1,4,(2)(G),3,2,0,0,$0.06,$0.13,219,"Commander Legends: Battle for Baldur's Gate",74766,563102,,0,"2xMint","","2xEnglish",273313,660906,1,0,0
"Scepter of Celebration","Artifact - Equipment",Green,Rare,"Olena Richards",0,0,(2)(G),3,1,0,0,$0.43,$0.43,64,"New Capenna Commander",73523,0,,0,"1xMint","","1xEnglish",269604,652453,1,0,0
"Decanter of Endless Water","Artifact",Colorless,Common,"Titus Lunter",0,0,(3),3,1,0,0,$0.11,$0.29,309,"Commander Legends: Battle for Baldur's Gate",74861,563192,,0,"1xMint","","1xEnglish",273372,660927,1,0,0
"Marble Diamond","Artifact",Colorless,Common,"Gaboleps",0,0,(2),2,1,0,0,$0.08,$0.15,320,"Commander Legends: Battle for Baldur's Gate",74872,563203,,0,"1xMint","","1xEnglish",272575,658520,1,0,0
"Moss Diamond","Artifact",Colorless,Common,"Gaboleps",0,0,(2),2,1,0,0,$0.06,$0.15,327,"Commander Legends: Battle for Baldur's Gate",74879,563210,,0,"1xMint","","1xEnglish",272574,658522,1,0,0
"Sol Ring","Artifact",Colorless,Uncommon,"Mike Bierek",0,0,(1),1,4,0,0,$1.06,$1.06,168,"Crimson Vow Commander",70157,545788,,0,"","","",254201,584148,1,0,0
